val_loss_step,val_f1_score_step,step,val_loss_epoch,val_f1_score_epoch,epoch,train_loss_epoch,train_f1_score_epoch,train_f1_score_step,train_loss_step
,,215,,,17,0.3908179700374603,0.8541666865348816,,
0.4806160032749176,0.75,54,,,,,,,
0.33236998319625854,1.0,55,,,,,,,
0.3125257194042206,0.875,56,,,,,,,
,,227,0.37517058849334717,0.875,18,,,,
,,227,,,18,0.35684552788734436,0.9479166865348816,,
0.3955512046813965,0.875,57,,,,,,,
0.3725177049636841,0.875,58,,,,,,,
0.29488083720207214,1.0,59,,,,,,,
,,239,0.3543165922164917,0.9166666865348816,19,,,,
,,239,,,19,0.38814422488212585,0.8333333134651184,,
,,249,,,20,,,0.875,0.44825541973114014
0.3719366192817688,0.875,60,,,,,,,
0.40298864245414734,0.75,61,,,,,,,
0.28984713554382324,1.0,62,,,,,,,
,,251,0.35492411255836487,0.875,20,,,,
,,251,,,20,0.3469713628292084,0.8541666865348816,,
0.41075485944747925,0.875,63,,,,,,,
0.32923707365989685,1.0,64,,,,,,,
0.28395843505859375,0.875,65,,,,,,,
,,263,0.3413167893886566,0.9166666865348816,21,,,,
,,263,,,21,0.3346952497959137,0.9479166865348816,,
0.633598268032074,0.5,66,,,,,,,
0.3140168786048889,0.75,67,,,,,,,
0.34728294610977173,0.75,68,,,,,,,
,,275,0.4316326677799225,0.6666666865348816,22,,,,
,,275,,,22,0.3139110207557678,0.9270833134651184,,
0.34056368470191956,1.0,69,,,,,,,
0.40933728218078613,0.75,70,,,,,,,
0.2796381115913391,0.875,71,,,,,,,
,,287,0.34317970275878906,0.875,23,,,,
,,287,,,23,0.33490511775016785,0.8958333134651184,,
,,299,,,24,,,0.5,0.575296938419342
0.36876195669174194,0.875,72,,,,,,,
0.3300403952598572,1.0,73,,,,,,,
0.26324817538261414,1.0,74,,,,,,,
,,299,0.3206835091114044,0.9583333134651184,24,,,,
,,299,,,24,0.3326030969619751,0.8958333134651184,,
